reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Product_Category
A1VXOAVRGKGEAK,439893577,Angie,"[0, 0]",I like the item pricing. My granddaughter wanted to mark on it but I wanted it just for the letters.,5,Magnetic board,1390953600,"01 29, 2014",Toys_and_Games
A8R62G708TSCM,439893577,Candace,"[1, 1]",Love the magnet easel... great for moving to different areas... Wish it had some sort of non skid pad on bottom though...,4,it works pretty good for moving to different areas,1395964800,"03 28, 2014",Toys_and_Games
A21KH420DK0ICA,439893577,capemaychristy,"[1, 1]","Both sides are magnetic.  A real plus when you're entertaining more than one child.  The four-year old can find the letters for the words, while the two-year old can find the pictures the words spell.  (I bought letters and magnetic pictures to go with this board).  Both grandkids liked it a lot, which means I like it a lot as well.  Have not even introduced markers, as this will be used strictly as a magnetic board.",5,love this!,1359331200,"01 28, 2013",Toys_and_Games
AR29QK6HPFYZ4,439893577,dcrm,"[0, 0]","Bought one a few years ago for my daughter and she loves it, still using it today. For the holidays we bought one for our niece and she loved it too.",5,Daughters love it,1391817600,"02 8, 2014",Toys_and_Games
ACCH8EOML6FN5,439893577,DoyZ,"[1, 1]",I have a stainless steel refrigerator therefore there are not much space for my son to play with his magnet. Brought this for him to put his magnet on. He enjoys sticking his magnet on it. Great to have so he can play with his alphabet magnets.,4,Great to have so he can play with his alphabet ...,1399248000,"05 5, 2014",Toys_and_Games
A1EDPGHC9EYBUN,439893577,kp,"[0, 0]",this is a nice magnetic board for the kids to carry around and play with the letter bought additional magnetic pieces from mellissa and doug to increase thier play time with them hope it works,3,grandma,1368662400,"05 16, 2013",Toys_and_Games
A181ZNB42LISRZ,439893577,laura,"[0, 0]","This is just as I expected. It's not too sturdy but it stands up well. I'm not sure how long it will last, but my grandsons love plalying with it.",3,Serves the purpose,1356480000,"12 26, 2012",Toys_and_Games
A1RBEJ5UQ1RWAW,439893577,Linda,"[1, 1]",My granddaughter really really likes this. I love that you can just fold it up and put it away. Would definately recommend.,5,Great,1397520000,"04 15, 2014",Toys_and_Games
AFGGC7SIV964O,439893577,Maan's Mom,"[0, 0]","This is good product to have with unlimited possibilities. I also ordered the magnetic letters & numbers by Melissa & Doug.  The dry erase has to be erased quickly or they tend to leave marks. Also, the magnet is not very strong. It's a nice size & works very well for our needs.",4,A must have for any homeschooling classroom !,1364428800,"03 28, 2013",Toys_and_Games
A2XU46XXNV19C8,439893577,Margaret,"[59, 59]",I keep this board on top of the hallway table so that I can quickly write notes (which won't get lost until I erase them) and it folds down neatly so it's easy to hide when company calls.  I also like the size -- not too big and not too small.  Quality magnets hold pretty good but I use it mainly for notes. NOTE:  Children's alphabet letters don't hold very well - they tend to slide.,3,Nifty little thing,1258588800,"11 19, 2009",Toys_and_Games
A1TNIN1HQIW2L6,439893577,"Mommy ""new mommy""","[0, 0]",Very nice to use with magnet letters and practice spelling. Holds the letters great and folds together nicely for storage. You can use it on a table or even the floor.,5,Works great!,1391990400,"02 10, 2014",Toys_and_Games
A5I03TZD4J96V,439893577,"N. Nick ""redgarnet54""","[2, 2]","Bought this board along with Melissa and Doug wood and magnetic letters and numbers kit.  The size is great for my 2-year-old grandson to play with, and there are 2 sides to use.  This is a big hit in my home and will grow with children as they become more creative...great learning tool too.  I also bought a container of magnetic foam objects so we can work with his spelling as he has now mastered his letters and numbers.  I believe it is also compatible with dry-erase markers for older children.  I highly recommend this board...great size to travel with also.",5,Perfect magnetic board!!!,1338422400,"05 31, 2012",Toys_and_Games
A2N4973VTYMV52,439893577,"Patz ""Patricia Dollar""","[0, 2]","The board had to be put away for my 18 month old grand daughter and we used just the refrigerator for the alphabet intending to bring back the board when she got a little older. The wooden letters are not painted, but rather covered with a colored paper which becomes loose rather easily. Most of the letters lasted for about 2 months before I had to throw them all out. Fortunately she knows all her alphabet by name and we are using other means to teach her how to put them together into words. At age 2 she can now spell her name - Molly.",3,Not Very Durable,1356480000,"12 26, 2012",Toys_and_Games
A11Q7PYQ87R5Y2,439893577,PDJ,"[0, 0]","sturdy and perfect for coffee table. magnets stick easily and it's great for 2 sided products. plus, you can use dry erase on the board for when they get a bit older. good product",5,great magnet board,1400889600,"05 24, 2014",Toys_and_Games
A3AJWITG95EY0Q,439893577,rely on feedback for purchases,"[17, 19]","We had purchased Melissa & Doug magnets & had some made & went looking for a board.  THIS IS IT!  It is so reasonable and has been in use ever since we received it.  You can spell words, put the Leap Frog base on it to put in letters/animals, numbers, etc.  It is also double sided.  Even though it's not intended they also like to put things under/inside the board.  They can roll things through it.  Highly recommend & every child should have one to put their magnets on.",5,Every child should have this!,1308873600,"06 24, 2011",Toys_and_Games
A137TYEMD68CAQ,439893577,sassi214,"[3, 3]",We purchased this to go with the magnetic letters and animals sets we just got. I really love this easel. It's sturdy and large. We've used it many times without any issue whatsoever. I also love that it also functions as a wipeboard. A+,5,Quality product,1261872000,"12 27, 2009",Toys_and_Games
A1TLCX2PM0TN8P,439893577,shopperju,"[0, 0]","This easel is the perfect size for my three year old grandson--he can use it on the floor or the tabletop, and loves to play with his letters and numbers.",5,great size,1393977600,"03 5, 2014",Toys_and_Games
AQN75W8HMUFSP,048645195X,"Angie Dee ""Angie""","[0, 0]",This is my absolute favorite design book. The patterns are so intricate and fun to color. I can only imagine the possibilities!,5,Intricate,1354665600,"12 5, 2012",Toys_and_Games
A32WT1ZEE4QGZB,048645195X,Bella-Bella (By the sea ~~~),"[2, 2]","Working with Mandala type coloring books can teach us a lot. 1) the light/dark placement of colors to bring into focus the center of the mandala (an example is on the cover of the book). 2) learning color choices that work together, teaching us the basics of the standard color wheel. 3) to stay concentrated to a task is good for improving or retaining cognitive capacities. 4) becomes a relaxing process, 5) last and certainly not least, to have some good fun. All of these points will improve our sense of well being.I like this particular Mandala coloring book by Marty Noble because it is a bit more complicated that her other mandala coloring books.  These are very traditional type designs that exhibit ancient sacred designs that span across several spiritual traditions.  They are easily removed from the book to work one at a time.  Four Star:  The designs are on each page, front and back.  This means you cannot use alcohol markers or markers that will bleed through the paper and ruin the other side.  Use high quality coloring pencils for best results.Creative Suggestion: Is to put your favorite design on an overhead projector, shine it on a chosen spot on a blank canvas and trace it. Then fill in with acrylics or oils or even water colors. Or you could complete this same process and project on a wall. This is sure to make an inspirational, yet soothing statement to your surroundings.",4,"Creative, soothing and inspirational spiritual mandalas to enjoy",1388620800,"01 2, 2014",Toys_and_Games
A1X3ESYZ79H59E,048645195X,chaos,"[7, 8]",This book contains 30 full page designs that are beautiful and intricate in nature. Most of the designs are 7 x 9 1/2 inches. Great resource for any artist!,5,Beautiful designs,1241481600,"05 5, 2009",Toys_and_Games
AKMEY1BSHSDG7,048645195X,J. Arena,"[11, 13]","Prepare to be swept away by the beauty of the images that your color choices will create. The spaces to color are sometimes very small, and require careful work and a steady hand. However, the payoff is immense. These images are beautifully done, and the work you do on them will inspire you.You may want to photocopy the pages if you wish to display or use each one, since they are printed back-to-back.Just beautifully done!",5,Takes a delicate touch!,1212105600,"05 30, 2008",Toys_and_Games
A2GYEPZKMD3J2Z,048645195X,J.L. Farnsworth,"[0, 0]","Oh, and for my teenager too.  Because that's who I really ordered it for.  Honest.  But, I am going to borrow it.  I call it sharing.I ordered several of these - different designs - but all by Dover and Marty Noble.  Of all of them, this is my favorite DESIGN  - but least favorite layout.  It doesn't take up the entire page like the rest of the books do. The design is in the center, and there is quite a bit of white, blank page, left all around it on every side.  What you see on the cover, is probably the biggest design in all of the book.  I will try to get a picture of the inside in the next few days, and post it here for you to see.Despite that, I do love the design.  (Just wish it were bigger, taking up more of the page.)  I love coloring.  It doesn't matter to me what it is, I just like to color.  I love that I have small children still (9 and 2) that I can color with, without looking completely silly (Not that I'd really care).  Coloring is relaxing.I stumbled across this book when I was looking for art supplies, and coloring books for my 17-year-old. (I typed in 'coloring book for teens' on a whim).  And I was happy to find these designs by Marty Noble.  The price was reasonable, and the quality is nice.  It's not a thick (lots of pages) coloring book like you would find for small children, only around 40 pages, I think.  But the pages aren't thin like a child's coloring book either.  They are a little thicker.  A little better quality.  Nice bold white sheets.  I'm thinking you may be able to use markers on this without them bleeding through, but I don't know for sure yet.  I'm going to try it.I'm pleased with my purchase, and will definitely be ordering more.",5,A coloring book for ME!  If only I'd known earlier!,1388102400,"12 27, 2013",Toys_and_Games
A2IB3CUVPRE28M,048645195X,Karen,"[1, 1]","Very nice for time destraction. Bought for my 14 year old niece. Although she would rather have a controller or keyboard in her hand, I at times I give her this for a &#34;technology break&#34;!",5,Inricate and time consuming. A great chance to get or give (if gift) a break from television!,1384905600,"11 20, 2013",Toys_and_Games
A1MPWLA14I9OWW,048645195X,MamaHen,"[0, 1]","I can color right along with my grandchildren, without feeling intellectually compromised at the project.  This book is so amazing that I have used some of the designs for stained glass windows.  I highly recommend this for anyone who does not want to grow out of a favorite pasttime.",5,Now I don't have to grow up,1364256000,"03 26, 2013",Toys_and_Games
ASVLLLS52G0A8,048645195X,MICHELLE,"[0, 0]",This coloring book has provided hours of creativity and entertainment. I color in this book while watching tv to give my hand something to do.,5,Love this coloring book,1388448000,"12 31, 2013",Toys_and_Games
AU21B5JSG23FQ,048645195X,mom2greatkids,"[1, 1]",The pictures in this book are very detailed and frustrating to do.  Not what I was expecting. I have many Dover books and this was a let down.,3,"Good book, just not a favorite",1375488000,"08 3, 2013",Toys_and_Games
AKU1TXYBJKSV6,048645195X,"Tabitha Few ""Tabitha""","[5, 6]","I just recieved my copy of decorative tile designs, and I was thrilled with the actual contents. However, this product could have been a bit better if they had been printed on one sided paper. (or even paper that was a bit thicker) It is impossible to use paints or markers on these pages, and crayons would be entirely too wide to use effectively due to the very small spaces on a good deal of the designs.. I don't mind using colored pencils, so I'm not completely disappointed, but the ability to use markers without serious bleed-through would have made this product worth five stars. All in all, this is definitely best for an older child or adult, especially if they love coloring with pencils and/or like intricate patterns.",3,"Beautiful designs, but not good for markers",1264636800,"01 28, 2010",Toys_and_Games
A252DMIM13A3K7,048645195X,Tamka,"[0, 0]","The art is nice in this coloring book. But I find some of the pages to be boring and repetitive. Thin pages mean you cannot use markers, which is a bummer.",4,Not bad,1383004800,"10 29, 2013",Toys_and_Games
